28.00
10/Sep/2025	14:53:39	8000
2.00	28.00

Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8	Channel 9	Channel 10	Channel 11	Channel 12	Channel 13	Channel 14	Channel 15	Channel 16	Channel 17	Channel 18	Channel 19	Channel 20	Channel 21	Channel 22	Channel 23	Channel 24	Channel 25	Channel 26	Channel 27	Channel 28	Channel 29	Channel 30	Channel 31	Channel 32	Channel 33	Channel 34	Channel 35	Channel 36	Channel 37	Channel 38
294288.59375	496183.53125	-360.286834716797	-187.984848022461	243.995452880859	141.912246704102	168.369903564453	-186.811157226562	156.974853515625	-171.141403198242	269.884735107422	48.3978614807129	90.8582077026367	-58.4351119995117	173.34423828125	17.1562004089355	-23.383508682251	-13.155553817749	88.2275466918945	-59.6089134216309	102.839698791504	-72.5190200805664	77.5245666503906	-360.342041015625	-123.084602355957	-152.302001953125	-248.639190673828	126.993804931641	-12.1933135986328	304.738098144531	241.570037841797	-179.552139282227	281.901641845703	-74.0554580688477	443.976135253906	67.7934646606445	145.381958007812	1043.21545410156
358014.53125	519301.46875	-509.333770751953	73.4024353027344	193.89811706543	138.590682983398	150.329360961914	-174.606491088867	129.626388549805	-152.215423583984	255.736480712891	47.729736328125	84.8754196166992	-140.434967041016	148.760238647461	30.2245864868164	47.1907958984375	-0.0391210690140724	86.2836761474609	-52.2909088134766	131.244369506836	-20.2846145629883	68.9116592407227	-331.802520751953	-172.484939575195	-118.836471557617	-257.257049560547	148.373657226562	-18.0400295257568	299.519104003906	276.671112060547	-128.397064208984	316.976165771484	-71.1838455200195	402.533905029297	71.9027099609375	141.396270751953	1091.15051269531
429254.5625	516527.125	-572.816711425781	226.368423461914	165.360565185547	84.0266647338867	106.07430267334	-138.473937988281	167.537490844727	-132.356979370117	238.141006469727	54.2515335083008	86.2610321044922	-193.092849731445	101.149063110352	29.8761825561523	83.2239151000977	-22.337215423584	110.382667541504	-78.0589447021484	111.541915893555	-1.18087661266327	77.3689956665039	-327.229797363281	-192.065521240234	-76.4491882324219	-252.740341186523	135.47282409668	-9.5209379196167	289.248565673828	259.222564697266	-87.0654830932617	285.562835693359	-130.452789306641	335.386627197266	43.3880424499512	84.4568176269531	1097.87097167969
501641.78125	517515.78125	-540.758361816406	261.871978759766	91.5236663818359	58.5272903442383	79.6577682495117	-115.783416748047	97.0714645385742	-114.253684997559	173.098388671875	45.9550895690918	71.1058197021484	-256.886901855469	116.314331054688	28.1609115600586	82.7482757568359	-50.3385353088379	133.850921630859	-114.279914855957	118.677131652832	20.0617065429688	62.1034049987793	-318.513488769531	-133.898864746094	-14.6349058151245	-199.581558227539	155.529876708984	-33.1612930297852	295.356628417969	240.7392578125	-92.6413040161133	296.322906494141	-134.449279785156	271.308929443359	45.5105781555176	-5.26263093948364	1115.47814941406
521622.875	517447.59375	-413.683624267578	277.198974609375	-8.71528339385986	30.4525508880615	57.2358551025391	-94.1996688842773	74.2224578857422	-149.974136352539	105.39143371582	9.11920070648193	76.632926940918	-293.719390869141	81.4476852416992	17.2206840515137	71.640495300293	-34.1662864685059	132.81689453125	-144.515258789062	90.4032363891602	-11.235634803772	43.4983825683594	-330.083312988281	-76.5418548583984	10.0526485443115	-199.482803344727	201.33415222168	-76.2676696777344	295.866607666016	267.0107421875	-103.009407043457	291.424591064453	-152.696060180664	204.055740356445	52.830680847168	-65.8149948120117	1125.44702148438
516922.9375	517021.90625	-329.604949951172	209.916656494141	-86.9849624633789	-5.08518552780151	6.5260181427002	-57.0365562438965	67.3687210083008	-144.823501586914	59.2450485229492	35.3661270141602	71.1799011230469	-320.286376953125	33.9765777587891	36.6726913452148	69.1791076660156	-55.917106628418	93.9553756713867	-166.166717529297	75.9145584106445	-57.3652496337891	13.9101104736328	-354.156494140625	-57.2265014648438	-7.34620332717896	-195.241760253906	194.734161376953	-95.5069122314453	294.988586425781	246.001861572266	-81.3781280517578	282.244873046875	-201.824203491211	77.5714874267578	41.2709465026855	-135.063201904297	1110.14184570312
519523.6875	517603.03125	-282.433868408203	121.85262298584	-126.166130065918	-5.70655822753906	14.9396390914917	-18.036190032959	1.40160930156708	-71.0968322753906	-20.4252185821533	48.5229568481445	48.7807846069336	-367.125030517578	5.22520303726196	47.2086753845215	50.0562934875488	-49.7440910339355	111.192848205566	-196.787811279297	85.4041213989258	-95.583251953125	-60.9125823974609	-346.075500488281	-20.5571403503418	-20.8351383209229	-175.123901367188	229.902221679688	-120.717658996582	264.538146972656	201.113739013672	-71.1728820800781	296.749908447266	-200.472579956055	-11.9572916030884	20.726188659668	-192.990478515625	1111.04516601562
517988.8125	517034.65625	-204.932754516602	172.363433837891	-119.033027648926	3.28106546401978	49.5856056213379	13.6415166854858	-24.3581409454346	-101.748199462891	-45.1313934326172	34.7480316162109	35.773609161377	-371.448486328125	-26.483699798584	63.9844665527344	16.6920013427734	-54.3877601623535	147.427886962891	-186.994277954102	49.0785751342773	-157.297058105469	-169.507965087891	-334.347564697266	-42.4626007080078	-79.4823150634766	-154.010818481445	230.401214599609	-123.122756958008	275.744842529297	183.002487182617	-77.3746795654297	281.152313232422	-233.071243286133	-48.4759979248047	9.35306835174561	-248.145538330078	1083.169921875
518702.75	517451.90625	-149.314971923828	245.453369140625	-87.3713531494141	34.1672019958496	32.0662879943848	38.562313079834	-57.6407928466797	-109.017654418945	-57.1675872802734	30.8708877563477	2.46802449226379	-397.32861328125	-37.6142539978027	132.776031494141	-0.406317681074142	-61.8821563720703	117.424652099609	-177.332366943359	54.1843223571777	-180.079895019531	-326.016906738281	-328.255676269531	-103.013740539551	-104.879371643066	-144.103851318359	224.604629516602	-144.021865844727	269.727996826172	185.380142211914	-79.0202560424805	285.616973876953	-279.09814453125	-106.073135375977	18.6373176574707	-304.640502929688	1066.09436035156
518591.9375	517154.78125	-93.1973342895508	370.049957275391	-55.5730209350586	66.3076782226562	53.5635757446289	70.1468887329102	-101.175422668457	-59.6944351196289	-89.713752746582	50.2498931884766	-2.26200699806213	-428.628967285156	-72.2202911376953	157.209945678711	-15.3100280761719	-21.3132610321045	138.58723449707	-176.720199584961	81.8930282592773	-203.091247558594	-472.326904296875	-322.486663818359	-135.355117797852	-158.923080444336	-207.610061645508	229.082550048828	-149.267974853516	259.542999267578	176.31689453125	-68.3943099975586	277.173522949219	-308.518646240234	-176.819946289062	-22.0550117492676	-316.296173095703	1052.89184570312
