32.00
10/Sep/2025	14:53:39	8000
2.00	32.00

Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8	Channel 9	Channel 10	Channel 11	Channel 12	Channel 13	Channel 14	Channel 15	Channel 16	Channel 17	Channel 18	Channel 19	Channel 20	Channel 21	Channel 22	Channel 23	Channel 24	Channel 25	Channel 26	Channel 27	Channel 28	Channel 29	Channel 30
-68789.8671875	-52343.9296875	-764.273071289062	-66.2843704223633	-1005.87286376953	-314.084197998047	-204.812271118164	611.564147949219	-49.6357078552246	17.5692558288574	182.726119995117	205.889770507812	110.756568908691	155.158416748047	333.709106445312	41.2586135864258	17.2011871337891	117.140533447266	284.002807617188	25.1587772369385	337.471557617188	-50.1160888671875	-163.258758544922	-20.159517288208	360.639251708984	-43.3115005493164	-76.8370590209961	63.3253211975098	-38.6353569030762	-124.09504699707
-68708.5703125	-94552.3125	-1219.36328125	-22.1613883972168	-977.170288085938	-313.448638916016	-198.220245361328	556.873107910156	-50.5585479736328	51.8940734863281	170.28352355957	216.178466796875	101.690399169922	193.50993347168	308.430603027344	35.2703285217285	26.9940071105957	88.9490661621094	259.367492675781	78.3938751220703	299.366088867188	-31.9908332824707	-135.597442626953	2.45762753486633	455.749603271484	-70.8406372070312	-65.7995223999023	93.6918411254883	-49.675048828125	-124.353134155273
-58443.04296875	-104175.390625	-1630.80944824219	-46.5690307617188	-959.08984375	-288.745483398438	-191.747894287109	551.2158203125	-87.800407409668	72.2902069091797	169.602493286133	250.452865600586	106.234344482422	219.899597167969	254.333053588867	51.2085456848145	8.44382476806641	79.3472061157227	232.290863037109	139.576385498047	298.439056396484	-3.772376537323	-98.607063293457	-31.0060043334961	463.408813476562	-84.2711868286133	-72.4455718994141	98.2270965576172	-60.8837776184082	-126.804557800293
-53484.671875	-90474.1875	-1969.4384765625	-19.6083068847656	-903.006896972656	-206.034210205078	-229.187393188477	517.466979980469	-103.934684753418	74.3175659179688	163.673202514648	280.252136230469	109.894889831543	233.09846496582	189.423690795898	82.2339096069336	27.0368900299072	80.0138626098633	215.666198730469	156.028411865234	275.097747802734	-26.8489723205566	-52.4525909423828	-30.581750869751	477.152801513672	-69.9156494140625	-53.096565246582	130.320022583008	-96.4122467041016	-189.269515991211
-49723.44921875	-66011.4296875	-2272.01513671875	-3.05258893966675	-819.079895019531	-221.516937255859	-208.731842041016	478.546020507812	-58.5678558349609	112.026420593262	156.389877319336	247.154190063477	100.802185058594	224.902801513672	102.464584350586	49.7003364562988	67.5362167358398	56.3331069946289	218.598815917969	176.921081542969	245.603820800781	-27.7008743286133	-5.94380807876587	0.685025870800018	520.903930664062	-59.7625045776367	-48.922534942627	151.610900878906	-90.8750457763672	-194.108306884766
-35002.3046875	-40616.44140625	-2709.70483398438	1.0149689912796	-742.995178222656	-163.419555664062	-213.362899780273	494.226593017578	-41.2154922485352	86.7185821533203	180.148239135742	238.341232299805	82.4787063598633	229.416168212891	46.2702903747559	46.5606575012207	92.2618637084961	53.6909790039062	190.22917175293	180.573791503906	257.479858398438	2.53722167015076	27.35498046875	-12.9516897201538	536.500183105469	-75.895149230957	-71.1182022094727	132.081176757812	-131.037872314453	-211.668716430664
-20470.509765625	6663.43310546875	-3093.55249023438	19.9513740539551	-685.505065917969	-11.6618518829346	-218.957382202148	469.483917236328	-35.2434883117676	64.2954940795898	215.340072631836	232.138824462891	65.6890869140625	242.184692382812	28.1716461181641	68.0982055664062	141.337844848633	22.0562686920166	209.253936767578	226.275314331055	260.485443115234	63.898868560791	54.8986473083496	-25.8302955627441	506.021820068359	-77.6000061035156	-84.2499084472656	77.1276321411133	-158.82878112793	-257.623321533203
-23593.3828125	74418.4453125	-3288.23608398438	-11.3869466781616	-611.660461425781	-68.3006286621094	-182.047088623047	466.7734375	-35.0612640380859	74.1110458374023	231.394393920898	220.219451904297	80.162109375	223.17546081543	-21.8642063140869	49.9083557128906	135.688385009766	19.1926422119141	238.562850952148	248.178405761719	253.448913574219	88.2801818847656	139.000579833984	-13.0437355041504	474.004211425781	-64.4274444580078	-84.0699615478516	21.2610969543457	-153.274322509766	-239.476181030273
-33540.50390625	119685.03125	-3593.37036132812	10.9151649475098	-513.869323730469	-22.404821395874	-191.364334106445	483.182708740234	-23.241153717041	48.5801010131836	234.397750854492	236.237869262695	91.6728286743164	236.799514770508	-68.796516418457	53.1107215881348	129.558288574219	-9.1772518157959	216.107818603516	265.620086669922	257.477783203125	95.4180603027344	163.956024169922	-23.4573268890381	501.488006591797	-80.2612915039062	-100.625480651855	-44.4780578613281	-156.218170166016	-244.080459594727
-37658.12890625	125725.375	-3813.521484375	-13.8466691970825	-476.504608154297	117.598251342773	-188.45671081543	496.421691894531	-2.30300736427307	1.20360732078552	239.685409545898	188.145782470703	72.3872680664062	251.386199951172	-70.318473815918	80.5121231079102	121.023017883301	-79.9977035522461	227.183822631836	331.612701416016	318.782745361328	105.145820617676	139.148971557617	-33.3104629516602	500.509094238281	-88.8444366455078	-130.698593139648	-98.6997985839844	-196.577529907227	-272.323974609375
