8.00
10/Sep/2025	14:53:39	8000
2.00	8.00

Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8	Channel 9	Channel 10	Channel 11	Channel 12	Channel 13	Channel 14	Channel 15	Channel 16	Channel 17	Channel 18	Channel 19	Channel 20
521840.9375	515532.875	445.751556396484	295.787933349609	-68.2848663330078	317.548400878906	298.568725585938	-167.022018432617	529.698120117188	-199.554336547852	-329.994537353516	101.121421813965	-214.715362548828	678.913940429688	481.212799072266	87.230354309082	162.279479980469	-22.0556755065918	-110.442581176758	-106.320114135742
522306.34375	515670.875	538.266845703125	306.819396972656	-71.129020690918	346.146423339844	368.700286865234	-143.467559814453	456.341857910156	-211.666595458984	-335.427642822266	112.87964630127	-184.641937255859	679.09765625	478.663604736328	64.3375854492188	211.312805175781	-18.8415412902832	-122.973823547363	-101.093788146973
522262.9375	516301.8125	620.332641601562	363.092651367188	-44.6518898010254	378.916259765625	411.828552246094	-153.085998535156	404.885955810547	-195.652984619141	-331.827758789062	85.5601272583008	-209.962112426758	647.587524414062	492.756652832031	33.7837982177734	252.765213012695	-67.4983139038086	-134.806640625	-75.8076553344727
522578	515483	599.061584472656	391.740600585938	37.5206985473633	420.201629638672	447.398651123047	-158.842956542969	384.78662109375	-192.469619750977	-324.653442382812	49.1873435974121	-245.549133300781	642.841918945312	477.877288818359	31.0739784240723	239.109924316406	-101.705772399902	-113.783897399902	-87.7975540161133
522261.96875	516617.28125	285.743804931641	343.693206787109	49.2657356262207	444.615936279297	498.481811523438	-172.887496948242	298.627197265625	-193.493179321289	-358.202209472656	63.0096282958984	-233.323059082031	603.304138183594	475.149810791016	27.6654357910156	230.845901489258	-117.036338806152	-120.794425964355	-108.071342468262
522288.21875	515189.96875	-3.26783728599548	235.040374755859	104.366241455078	505.9150390625	504.204956054688	-169.07795715332	242.540817260742	-196.159729003906	-356.182556152344	54.4258270263672	-227.354019165039	578.998107910156	460.366271972656	-1.87236070632935	223.248672485352	-145.791946411133	-134.918121337891	-82.4358901977539
522598	516067.25	-195.959075927734	-848.631164550781	159.729110717773	525.252319335938	434.219177246094	-174.276138305664	208.954620361328	-184.015319824219	-332.025726318359	58.560230255127	-216.891372680664	572.370727539062	426.732086181641	-50.283821105957	247.568664550781	-117.980461120605	-127.724426269531	-63.1602973937988
521563.09375	516400.25	-45.0903282165527	-3334.9091796875	84.1451950073242	548.1435546875	353.050964355469	-210.67741394043	173.704345703125	-192.032409667969	-340.483245849609	37.3906669616699	-175.060760498047	560.414245605469	401.018981933594	-58.640308380127	274.513824462891	-120.382942199707	-108.001976013184	-16.3551139831543
523485.21875	513735.6875	638.367370605469	-6948.68310546875	90.8819122314453	545.482177734375	304.740631103516	-214.706024169922	156.636764526367	-217.171569824219	-302.294708251953	8.90756320953369	-175.100524902344	550.463806152344	369.430511474609	-64.678825378418	245.472503662109	-127.05744934082	-103.202735900879	10.675479888916
520726.1875	519425.625	839.526306152344	-7894.47900390625	37.6070327758789	482.609100341797	323.592987060547	-216.589248657227	111.588287353516	-213.40754699707	-277.008117675781	-0.0974487811326981	-185.221557617188	512.571228027344	340.335968017578	-43.6545639038086	243.777191162109	-88.4782867431641	-97.6331939697266	0.759184598922729
523910.46875	510717.46875	875.119018554688	-4904.87060546875	-55.9557456970215	491.053924560547	371.621063232422	-208.451995849609	78.9111175537109	-198.343078613281	-251.939453125	-1.44122207164764	-187.03727722168	502.455505371094	321.8388671875	-62.7799949645996	260.653991699219	-101.807273864746	-79.8123474121094	53.6749458312988
521156.46875	521354.65625	1417.478515625	-6214.0498046875	-58.5357780456543	465.744079589844	416.801849365234	-226.194915771484	58.9273567199707	-216.959915161133	-204.560607910156	-10.4501667022705	-179.04557800293	491.774871826172	317.760131835938	-46.8283195495605	231.329071044922	-83.1627349853516	-127.904418945312	83.0594940185547
522109.84375	511168.09375	1817.10681152344	-14736.4716796875	-82.013053894043	405.796875	457.235229492188	-253.367645263672	40.7665176391602	-235.24267578125	-188.362350463867	-41.146800994873	-176.10612487793	496.032379150391	294.624694824219	-7.19975566864014	229.845611572266	-50.4686584472656	-189.43424987793	132.993392944336
524885.25	517201.09375	1536.60522460938	-24247.853515625	-29.9718704223633	346.514099121094	396.851959228516	-237.638244628906	10.7834186553955	-221.341400146484	-168.777313232422	-36.245906829834	-206.617263793945	450.149658203125	271.3876953125	-58.1924209594727	247.055526733398	-21.9431667327881	-159.167572021484	170.035766601562
515499.09375	520280.9375	282.982818603516	-28742.703125	46.186897277832	273.25048828125	340.117065429688	-254.561599731445	-49.8345794677734	-253.166732788086	-167.686904907227	-34.5304794311523	-207.992721557617	405.297393798828	271.720245361328	-27.0816059112549	241.047546386719	8.03672695159912	-169.405166625977	194.253265380859
537808.8125	501474.46875	-1680.51000976562	-26692.697265625	190.962936401367	230.000991821289	319.408264160156	-265.795593261719	-73.6749420166016	-258.910247802734	-144.960250854492	-42.2412414550781	-240.87565612793	427.12255859375	262.063201904297	-0.81034928560257	244.692092895508	34.9598236083984	-163.4970703125	265.200347900391
420359.875	544867.25	-4020.35375976562	-21408.859375	368.601013183594	160.569793701172	261.3447265625	-259.371337890625	-114.804725646973	-230.469192504883	-127.737281799316	-25.6404876708984	-279.910522460938	370.793548583984	250.731475830078	3.99721932411194	259.892333984375	75.7824096679688	-107.83341217041	258.432220458984
88742.6640625	101609.921875	-6224.3759765625	-15104.9560546875	498.176727294922	73.9005279541016	203.178726196289	-285.867279052734	-170.763366699219	-253.718795776367	-138.652008056641	-38.6875686645508	-307.480651855469	345.613555908203	259.705291748047	3.0235583782196	252.647735595703	44.2897338867188	-113.757720947266	284.942993164062
-288029	-488753.4375	-7430.66845703125	-12115.9453125	635.120056152344	13.4456224441528	137.468017578125	-288.623413085938	-180.288391113281	-243.045425415039	-110.701080322266	-53.8142700195312	-349.901092529297	376.964691162109	261.803466796875	-5.77886867523193	226.711654663086	36.6939926147461	-73.9139556884766	330.039642333984
-515896.3125	-523572.09375	-7617.88525390625	-14624.7724609375	742.321594238281	-50.4622497558594	128.007278442383	-281.86328125	-237.602066040039	-224.645797729492	-104.357032775879	-63.5390129089355	-358.767639160156	362.848724365234	252.844711303711	33.3516006469727	234.969940185547	54.8267936706543	-17.4139881134033	312.954864501953
-526199.875	-505792.3125	-7376.16552734375	-17243.1328125	875.359619140625	-129.893768310547	179.142761230469	-294.826782226562	-265.931488037109	-232.656188964844	-106.357612609863	-46.1684913635254	-351.626403808594	366.106140136719	229.987564086914	4.34996700286865	228.125747680664	22.6123809814453	5.67653751373291	333.723815917969
-517741.71875	-526490.1875	-7350.5986328125	-19686.67578125	962.523376464844	-188.260955810547	247.699005126953	-316.449676513672	-265.056335449219	-207.453338623047	-96.5086059570312	-20.1930503845215	-344.313385009766	347.162170410156	230.951187133789	10.1800260543823	217.394882202148	33.1961212158203	19.3895606994629	307.206970214844
-526581.625	-506148.25	-8063.78564453125	-23277.654296875	1028.77075195312	-246.569641113281	300.257537841797	-302.728912353516	-289.523040771484	-229.275543212891	-111.669876098633	-60.7004127502441	-367.05029296875	355.556732177734	270.667236328125	75.2631149291992	221.890502929688	45.335319519043	14.1667451858521	295.43896484375
-518899.96875	-523049.8125	-9619.8193359375	-25885.998046875	1069.1318359375	-324.295013427734	297.473022460938	-303.166961669922	-266.8759765625	-255.978973388672	-109.829193115234	-41.8960876464844	-372.261566162109	386.733215332031	261.413330078125	49.2894554138184	213.281066894531	24.7528114318848	8.99662685394287	306.746398925781
-524571.25	-511262.5	-11642.5341796875	-27418.638671875	1019.99273681641	-379.702026367188	305.265319824219	-334.710815429688	-268.420959472656	-253.354156494141	-108.16349029541	-17.9730167388916	-343.203674316406	340.617309570312	245.113067626953	20.7052955627441	244.208740234375	11.0767974853516	12.5262155532837	235.511749267578
-521114.65625	-517704.5	-13916.583984375	-24838.8125	984.576965332031	-422.355407714844	327.863555908203	-313.38623046875	-273.647583007812	-262.224884033203	-150.487716674805	-41.550838470459	-334.805999755859	331.327819824219	266.207580566406	54.2575416564941	251.879470825195	37.9936103820801	17.5276107788086	208.264358520508
-522628.40625	-515737.09375	-16958.185546875	-14257.2021484375	917.45947265625	-457.153228759766	252.148422241211	-321.463195800781	-229.743301391602	-258.96728515625	-159.009094238281	3.81587767601013	-301.011535644531	339.960540771484	286.245574951172	14.7971124649048	240.88215637207	40.0338287353516	-2.77218270301819	192.246612548828
-522516.53125	-514709.09375	-20897.537109375	5398.5078125	810.353515625	-481.222229003906	107.306427001953	-321.110595703125	-223.259292602539	-285.983123779297	-167.727066040039	19.3830757141113	-248.609512329102	333.364410400391	306.128112792969	15.8729696273804	274.967437744141	39.3217506408691	-11.9962491989136	183.307418823242
-521835.96875	-517160.4375	-25318.50390625	34834.14453125	712.932495117188	-474.348907470703	2.99498772621155	-292.069274902344	-221.67529296875	-284.185211181641	-238.423202514648	6.00195932388306	-231.388031005859	321.038269042969	301.441253662109	39.6326751708984	277.527709960938	79.9016036987305	2.34163093566895	190.974548339844
-522782.78125	-514562.59375	-29406.404296875	72675.6328125	652.54296875	-477.985107421875	-60.8091850280762	-306.797210693359	-172.944946289062	-287.761199951172	-281.127471923828	19.5898876190186	-221.667907714844	303.076812744141	293.834838867188	-25.286901473999	281.789184570312	47.4918022155762	0.976288199424744	148.31591796875
-521927.84375	-516533.90625	-31629.611328125	117606.8671875	629.939331054688	-477.393310546875	-105.151260375977	-294.373291015625	-166.843994140625	-275.378997802734	-305.470306396484	-5.4082989692688	-225.740829467773	330.6240234375	297.865081787109	-3.31596422195435	325.455017089844	83.5584182739258	-1.5087456703186	135.34162902832
-522519.53125	-515447.40625	-31565.923828125	167012.578125	600.8828125	-427.480743408203	-184.850173950195	-272.502593994141	-184.156066894531	-227.7978515625	-327.640441894531	-25.8502769470215	-198.131973266602	313.562347412109	315.447235107422	15.9725713729858	321.435607910156	127.91455078125	5.5992603302002	146.870971679688
-522182.96875	-515777.46875	-29874.08984375	216271.28125	623.476196289062	-411.636260986328	-184.980392456055	-298.528656005859	-155.251693725586	-267.127838134766	-386.942687988281	-42.6962471008301	-231.679885864258	301.665466308594	326.008453369141	-4.75374269485474	296.134582519531	90.6720275878906	8.78605175018311	137.897705078125
-522099.21875	-515761.78125	-26690.69140625	262862.71875	682.278442382812	-389.643402099609	-88.6265716552734	-272.535675048828	-105.867599487305	-250.343551635742	-428.384765625	-53.9205169677734	-281.0126953125	309.292877197266	299.274536132812	23.6614551544189	307.147125244141	108.690032958984	4.77168416976929	110.59211730957
-521843.59375	-515087.40625	-22518.11328125	306882.09375	694.128540039062	-372.843383789062	-7.95671558380127	-226.590072631836	-93.9290008544922	-232.385269165039	-394.717834472656	-64.7231597900391	-248.432571411133	273.726959228516	300.155578613281	53.0299034118652	330.508453369141	99.3628311157227	9.74050426483154	93.989616394043
-521562.09375	-515025.65625	-17818.400390625	349136.28125	701.986633300781	-346.981903076172	71.1171722412109	-251.249816894531	-96.6999053955078	-264.659729003906	-385.362213134766	-95.9128875732422	-293.790863037109	252.076171875	276.813598632812	69.3913803100586	307.083312988281	77.3763961791992	-8.38749504089355	76.2046127319336
-521545.96875	-515028.40625	-12056.3173828125	388960.65625	685.816955566406	-307.596649169922	50.6271667480469	-227.865203857422	-67.8054351806641	-263.188385009766	-390.878265380859	-90.3973617553711	-294.638122558594	197.598571777344	251.942611694336	105.709167480469	293.518859863281	44.7774085998535	-9.7988166809082	57.7519264221191
-521546.21875	-515028.40625	-4924.6416015625	427142	596.503723144531	-337.495910644531	2.71711564064026	-243.222320556641	-55.219612121582	-295.698211669922	-420.768218994141	-79.4109573364258	-261.724365234375	171.169998168945	253.816177368164	130.283782958984	333.094940185547	2.53735876083374	12.6172676086426	52.6315040588379
