12.00
10/Sep/2025	14:53:39	8000
2.00	12.00

Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8	Channel 9	Channel 10	Channel 11	Channel 12	Channel 13	Channel 14	Channel 15	Channel 16	Channel 17	Channel 18	Channel 19	Channel 20	Channel 21	Channel 22	Channel 23	Channel 24	Channel 25	Channel 26	Channel 27	Channel 28
220880.703125	524468.6875	-459.851531982422	251.594635009766	-494.483154296875	23.9725666046143	-235.256591796875	-161.696166992188	104.925361633301	-0.0199026614427567	-240.154098510742	-291.582153320312	14.5955820083618	-108.442169189453	149.088134765625	-268.35546875	-158.758743286133	-235.747497558594	-76.6188812255859	158.993957519531	-103.953102111816	-408.816650390625	-603.312561035156	-32.4615440368652	-534.77099609375	58.2896385192871	39.8143997192383	218.432312011719
250736.703125	523804.625	-500.013275146484	282.467010498047	-474.296752929688	10.3847188949585	-226.0302734375	-219.213012695312	91.7503890991211	51.7687187194824	-334.280303955078	-317.092620849609	39.3634948730469	-137.382247924805	212.397201538086	-222.065536499023	-61.684398651123	-187.64485168457	-37.2054328918457	183.929733276367	-122.800979614258	-366.229644775391	-587.373901367188	-20.1818103790283	-549.460266113281	86.6851272583008	45.6713485717773	233.081848144531
296186.9375	524254.21875	-533.490661621094	263.978637695312	-505.951690673828	-10.7590608596802	-237.772506713867	-273.475799560547	48.9721755981445	60.8375015258789	-351.625793457031	-280.062255859375	107.970222473145	-148.016540527344	296.85546875	-215.372848510742	56.9149627685547	-111.84400177002	-41.489143371582	191.858444213867	-82.3531799316406	-389.703002929688	-559.272766113281	-59.8985252380371	-594.73828125	64.454231262207	43.7894973754883	248.100341796875
363641.25	524049.375	-531.558410644531	267.8779296875	-529.276184082031	1.64033961296082	-245.776748657227	-257.433013916016	44.1929817199707	52.8683204650879	-357.613983154297	-311.861511230469	158.430587768555	-148.337295532227	328.558868408203	-226.862121582031	210.414535522461	-69.1731567382812	-78.3044052124023	212.651809692383	-68.8647308349609	-359.959716796875	-511.424285888672	-63.655517578125	-584.966674804688	62.7134437561035	58.9849243164062	274.119995117188
463689.3125	524081.625	-565.821044921875	156.267959594727	-529.890686035156	-18.0871448516846	-242.046722412109	-209.253509521484	30.6609134674072	53.2421722412109	-299.419738769531	-305.724853515625	172.826156616211	-139.376693725586	358.839874267578	-212.600601196289	352.417419433594	-52.0535736083984	-106.432540893555	203.652862548828	-116.206153869629	-308.688690185547	-548.965393066406	-52.9259490966797	-586.71044921875	65.7759094238281	53.185375213623	292.960784912109
518624.34375	524135.75	-568.708190917969	58.6126670837402	-546.377746582031	18.203821182251	-241.681976318359	-191.589935302734	17.8998432159424	31.8021793365479	-180.744552612305	-280.068145751953	204.536880493164	-105.669586181641	431.264465332031	-198.406311035156	496.981994628906	6.88575220108032	-95.9315338134766	210.106262207031	-95.5485458374023	-317.338226318359	-548.289123535156	-67.8885955810547	-598.357116699219	80.1070556640625	31.8817501068115	269.685546875
514339	523986.34375	-604.085205078125	41.1266670227051	-539.271484375	72.0564041137695	-210.27473449707	-137.393295288086	12.5404100418091	0.245989546179771	-141.741409301758	-316.676574707031	184.027465820312	-74.0825653076172	413.144165039062	-169.189407348633	644.430297851562	43.9494438171387	-127.647178649902	247.201644897461	-72.7626190185547	-282.475677490234	-516.3427734375	-43.5588989257812	-603.960083007812	105.833160400391	21.6325492858887	295.396392822266
515791.375	524102.15625	-635.530822753906	173.485809326172	-550.876525878906	45.240665435791	-211.825790405273	-96.5230865478516	-8.24120426177979	-11.305850982666	-89.9990997314453	-281.971923828125	170.858642578125	-66.2053680419922	402.947875976562	-146.187728881836	760.536926269531	97.771858215332	-183.932495117188	217.21240234375	-130.499572753906	-248.740249633789	-550.1689453125	-11.7802057266235	-630.525939941406	101.127456665039	8.44020938873291	319.403289794922
515897.875	524335.375	-681.251647949219	211.475189208984	-558.568664550781	80.9745330810547	-254.728332519531	-85.5152282714844	-32.0891189575195	-24.9166011810303	-66.3374328613281	-296.325134277344	169.267456054688	-62.645206451416	409.172027587891	-142.038101196289	925.135375976562	138.069946289062	-168.013809204102	233.861114501953	-157.132476806641	-235.856857299805	-589.757995605469	-14.5740823745728	-660.763732910156	120.523414611816	36.6925811767578	288.783599853516
515009.75	524397.75	-649.253601074219	-1074.44543457031	-550.034545898438	153.887222290039	-239.759353637695	-62.1556777954102	-23.7321853637695	-75.1045303344727	-137.82080078125	-310.176422119141	146.741653442383	-9.87174034118652	359.397369384766	-144.40104675293	1042.55200195312	137.542343139648	-182.227447509766	247.133666992188	-139.153137207031	-237.445983886719	-579.010803222656	45.2250556945801	-653.38525390625	150.634643554688	11.3498907089233	282.139678955078
516150.75	524573.5625	-856.191711425781	-3812.43408203125	-509.242980957031	144.699035644531	-229.771530151367	-95.9454116821289	3.6840398311615	-105.820915222168	-153.663986206055	-297.102600097656	139.126098632812	70.6273803710938	355.563568115234	-109.003059387207	1108.49548339844	165.521392822266	-216.888595581055	225.522308349609	-139.21760559082	-254.610214233398	-590.759765625	91.562873840332	-628.107238769531	158.807266235352	-22.5540771484375	298.577941894531
515024.25	524660.375	-1074.62841796875	-7486.8984375	-476.41552734375	175.037567138672	-235.317321777344	-200.191909790039	15.7956304550171	-126.146179199219	-190.504440307617	-338.128936767578	116.899200439453	129.453826904297	370.879943847656	-85.4637832641602	1178.2451171875	146.547653198242	-212.191375732422	256.151947021484	-127.627288818359	-225.204132080078	-625.604431152344	100.401458740234	-645.082885742188	136.21272277832	18.4069232940674	337.576141357422
515848.625	524153	-479.1181640625	-11620.341796875	-429.609191894531	220.600494384766	-204.369506835938	-299.824676513672	7.36694097518921	-160.306381225586	-218.563812255859	-292.943023681641	109.795539855957	193.573623657227	371.794494628906	-145.055023193359	1160.35009765625	123.050102233887	-203.807434082031	239.337112426758	-129.310745239258	-224.749404907227	-610.429016113281	158.325637817383	-640.964538574219	137.608108520508	23.724552154541	362.038604736328
515303.625	525171.3125	-1136.30163574219	-13015.5166015625	-321.714996337891	233.837768554688	-169.764083862305	-406.574340820312	-38.7160224914551	-170.436264038086	-184.788116455078	-273.699554443359	104.586799621582	230.181777954102	364.559112548828	-169.658752441406	1170.22253417969	110.41089630127	-217.900344848633	219.229919433594	-140.594818115234	-244.166076660156	-616.3642578125	167.848266601562	-595.292419433594	123.563652038574	-17.6346645355225	334.69287109375
515488.65625	523664.875	-3472.37426757812	-10169.1279296875	-260.271057128906	231.371353149414	-123.414985656738	-565.895080566406	-39.2984085083008	-153.405807495117	-120.837112426758	-296.099365234375	41.6902122497559	225.231033325195	346.247772216797	-146.493469238281	1180.85339355469	65.2162933349609	-231.817855834961	221.398895263672	-129.206649780273	-246.197875976562	-619.298889160156	224.707046508789	-578.836303710938	72.6692276000977	-9.70540237426758	359.45947265625
515601.4375	525390.75	-5672.70703125	-9494.3876953125	-204.88591003418	218.682495117188	-102.87841796875	-729.857055664062	-28.7349815368652	-169.291320800781	-19.2694873809814	-287.261962890625	11.824405670166	252.774475097656	336.155639648438	-173.199264526367	1134.32861328125	32.5846366882324	-214.870086669922	197.69172668457	-124.927192687988	-242.252426147461	-604.124633789062	310.374298095703	-583.648254394531	86.04736328125	-5.05505800247192	381.252471923828
515897.625	524002.4375	-7810.3076171875	-16248.1279296875	-156.04948425293	218.746078491211	-93.8158569335938	-818.235046386719	-39.4299468994141	-157.585235595703	83.9082794189453	-278.076263427734	40.1051368713379	270.341339111328	337.750152587891	-170.780197143555	1086.39111328125	12.1117162704468	-229.153594970703	205.575698852539	-136.268051147461	-222.255081176758	-593.095886230469	312.569091796875	-549.737182617188	64.8077011108398	12.5298910140991	363.040618896484
516107.28125	524230.8125	-9756.509765625	-28458.02734375	-112.426727294922	210.074844360352	-56.3669700622559	-864.639099121094	-28.0295295715332	-127.896102905273	213.327163696289	-231.132369995117	50.6564445495605	254.808639526367	365.39892578125	-145.504837036133	1005.68902587891	7.93616008758545	-249.661422729492	197.725891113281	-152.582534790039	-224.830047607422	-595.3642578125	350.558837890625	-514.631591796875	61.290599822998	84.8793106079102	363.693878173828
516107.9375	526139.25	-10657.4814453125	-41558.1796875	-50.2670669555664	209.91130065918	-41.6908187866211	-902.851379394531	-32.8555679321289	-121.040428161621	299.48779296875	-183.379608154297	44.1142997741699	258.775390625	339.022216796875	-137.641296386719	932.595336914062	-15.8148670196533	-231.388092041016	176.193908691406	-140.808044433594	-246.995544433594	-612.08154296875	399.311218261719	-524.805114746094	98.2649612426758	99.844108581543	341.426177978516
516082.90625	521125.15625	-10033.306640625	-45773.2421875	-42.1236839294434	221.154174804688	-43.7462310791016	-845.013488769531	-27.8151302337646	-88.0093994140625	322.625366210938	-136.062850952148	27.8906536102295	240.101959228516	313.567901611328	-121.373466491699	884.893127441406	-50.8464317321777	-228.625244140625	200.076690673828	-118.225105285645	-274.124664306641	-592.905212402344	399.727813720703	-539.729614257812	86.9617080688477	125.457672119141	341.995819091797
515914.75	530040.125	-10191.177734375	-32824.9375	-8.47361373901367	244.401565551758	-18.7124729156494	-736.824890136719	-55.8257293701172	-94.2915802001953	312.009704589844	-69.1768569946289	11.1450300216675	181.375534057617	330.106872558594	-133.793533325195	823.579040527344	-69.4092407226562	-218.568649291992	188.308975219727	-111.64427947998	-273.809936523438	-560.064453125	420.842102050781	-546.329162597656	110.007598876953	184.169189453125	312.947814941406
