20.00
10/Sep/2025	14:53:39	8000
2.00	20.00

Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8	Channel 9	Channel 10	Channel 11	Channel 12	Channel 13	Channel 14	Channel 15	Channel 16	Channel 17	Channel 18	Channel 19	Channel 20	Channel 21	Channel 22	Channel 23	Channel 24	Channel 25	Channel 26	Channel 27	Channel 28	Channel 29	Channel 30	Channel 31	Channel 32	Channel 33	Channel 34	Channel 35	Channel 36	Channel 37	Channel 38	Channel 39	Channel 40	Channel 41	Channel 42	Channel 43	Channel 44
1636.68933105469	-1982.51196289062	-1123.42431640625	426.238952636719	-671.228576660156	-800.975952148438	-152.910797119141	433.244964599609	38.2729072570801	385.745880126953	-36.5274543762207	-199.216506958008	-192.276611328125	-235.64111328125	-303.194213867188	15.6054439544678	-58.4896049499512	-278.293182373047	-216.854202270508	-252.419692993164	21.8077640533447	-53.9270935058594	-188.72248840332	-25.3974990844727	-499.94873046875	-95.2081069946289	-395.092132568359	18.7031326293945	-196.505767822266	769.086791992188	-63.8271102905273	-391.643920898438	58.0949745178223	-205.164764404297	-184.660125732422	137.906311035156	57.567985534668	299.61083984375	350.163269042969	13.5491037368774	390.912872314453	42.7396965026855	5.71607112884521	-27.2402153015137
-2743.75634765625	-2420.16796875	-1074.28210449219	419.941162109375	-702.24755859375	-816.917358398438	-153.034729003906	433.441192626953	46.7079315185547	368.209686279297	-62.8002243041992	-188.163711547852	-162.423400878906	-218.411468505859	-301.066467285156	48.1075897216797	-74.6433258056641	-261.240112304688	-234.043670654297	-262.109161376953	3.78659868240356	-6.57504224777222	-202.079574584961	-8.51180458068848	-513.350402832031	-84.7531661987305	-436.119476318359	-4.57111406326294	-195.070205688477	738.929748535156	-63.6390228271484	-437.581390380859	37.1741981506348	-111.881904602051	-159.066284179688	232.28092956543	94.0867919921875	284.914886474609	336.411071777344	-13.7129755020142	414.567321777344	42.1270561218262	2.77306389808655	-23.2067470550537
-7202.81689453125	-2526.67626953125	-1024.71215820312	468.754119873047	-736.210205078125	-790.066223144531	-150.806945800781	408.3330078125	51.4424819946289	347.590942382812	-70.068244934082	-237.975967407227	-162.298843383789	-191.653457641602	-300.668365478516	27.3103065490723	-76.5290908813477	-244.931442260742	-210.02214050293	-241.233917236328	14.885687828064	-10.1200971603394	-153.453582763672	-32.5143966674805	-503.72900390625	-34.7918739318848	-481.356994628906	-17.7404747009277	-196.493408203125	738.098327636719	-80.9987182617188	-476.911437988281	17.3798866271973	-71.7074432373047	-136.903289794922	342.794708251953	132.550064086914	233.133987426758	345.536560058594	11.6665849685669	502.359191894531	1.96585834026337	3.64595222473145	-8.78004264831543
-22839.09375	-5248.970703125	-1021.95306396484	508.098968505859	-719.480102539062	-736.192321777344	-141.861022949219	401.092956542969	43.1133346557617	323.460876464844	-61.4019775390625	-211.236251831055	-147.853881835938	-169.317153930664	-314.648193359375	19.2998332977295	-72.5447311401367	-249.162979125977	-194.614685058594	-214.875350952148	3.77717733383179	-3.01028919219971	-140.261199951172	-91.1262435913086	-456.5654296875	-4.20179748535156	-481.790863037109	11.1770782470703	-198.396469116211	708.483581542969	-81.9343719482422	-465.339019775391	-13.1054639816284	-55.5085830688477	-122.339897155762	363.391204833984	195.39030456543	196.083236694336	382.582183837891	17.3184757232666	544.105163574219	-37.1013946533203	14.9720849990845	-36.2104988098145
-45391.1171875	-12246.4580078125	-1031.07141113281	541.029724121094	-715.81005859375	-711.037658691406	-91.4244384765625	405.300842285156	76.0065383911133	313.014343261719	-78.2622604370117	-219.765747070312	-103.929496765137	-145.744338989258	-321.755462646484	42.3217506408691	-138.504943847656	-227.805923461914	-229.521865844727	-217.516708374023	13.9151048660278	-5.83150100708008	-134.759292602539	-89.8445129394531	-411.870941162109	18.7002983093262	-480.097045898438	10.8256034851074	-207.346115112305	676.19873046875	-25.6453380584717	-509.37109375	31.734733581543	-13.8714981079102	-109.938262939453	368.975677490234	231.146347045898	140.470779418945	444.617340087891	38.9868927001953	582.632690429688	-48.434154510498	-0.157505616545677	-20.7327671051025
-51539.10546875	-20170.833984375	-1057.28088378906	545.536254882812	-725.1064453125	-705.901611328125	-57.8153419494629	373.196838378906	108.963241577148	275.361572265625	-47.7043571472168	-233.583312988281	-126.900688171387	-160.078125	-334.011352539062	-7.91417121887207	-179.468017578125	-207.899307250977	-191.980041503906	-195.94206237793	17.9103221893311	-6.59016513824463	-137.913558959961	-104.883834838867	-385.942474365234	56.2059326171875	-495.584350585938	-4.64871454238892	-174.908157348633	691.533264160156	-32.7352142333984	-489.400634765625	69.7403869628906	-0.721265316009521	-35.0024375915527	345.305877685547	263.163848876953	94.3779449462891	481.606048583984	46.8437194824219	571.14990234375	-58.3345489501953	-23.8902111053467	8.43280792236328
-48524.1015625	-18877.943359375	-1183.78625488281	550.484008789062	-717.315795898438	-641.452087402344	-20.7894954681396	340.292877197266	107.244956970215	244.929061889648	-33.0125885009766	-221.95378112793	-117.073722839355	-169.414260864258	-329.711029052734	-26.8052158355713	-221.754302978516	-223.472198486328	-166.690322875977	-202.335571289062	-15.2201166152954	15.6686410903931	-145.652420043945	-120.203735351562	-333.181823730469	80.3101654052734	-504.036315917969	-0.355218082666397	-183.123306274414	684.211608886719	-33.6848297119141	-509.638854980469	84.8578643798828	3.69157552719116	6.41045618057251	287.285125732422	276.686584472656	97.9666519165039	525.388671875	55.841625213623	545.270263671875	-66.8458023071289	25.2106952667236	8.54409122467041
-47340.34765625	-12991.3818359375	-1252.59008789062	574.087829589844	-732.711303710938	-611.3359375	44.1725273132324	338.020355224609	111.201713562012	180.293746948242	-48.6811256408691	-216.837585449219	-89.2575912475586	-163.751647949219	-291.004669189453	-32.7689170837402	-279.564086914062	-214.619201660156	-168.858093261719	-180.165832519531	30.9669704437256	6.98957967758179	-135.298629760742	-93.1064453125	-279.442840576172	76.3171539306641	-484.277954101562	23.0186424255371	-189.64306640625	676.684509277344	48.1799163818359	-587.198547363281	105.25511932373	15.6239900588989	15.8690958023071	250.443618774414	282.161041259766	71.0259323120117	600.078186035156	74.1833267211914	563.423706054688	-94.0297470092773	21.3330383300781	63.0166969299316
-27753.41796875	-26674.40625	-1243.87365722656	531.726135253906	-709.243774414062	-549.58447265625	86.0939865112305	319.612854003906	120.664352416992	125.114723205566	-42.1345596313477	-207.824844360352	-75.3350524902344	-163.20361328125	-261.433685302734	-43.1728935241699	-306.843688964844	-177.726409912109	-128.832824707031	-161.526763916016	14.9817152023315	-31.7331695556641	-175.339965820312	-102.1044921875	-235.054214477539	75.2785263061523	-451.319458007812	28.9278392791748	-130.655456542969	652.804565429688	103.496864318848	-537.566101074219	95.4391326904297	15.1272258758545	65.4959259033203	224.001083374023	290.078399658203	39.0015640258789	624.5947265625	53.8695259094238	553.723815917969	-132.323226928711	11.2460527420044	56.8319473266602
-8002.3828125	-44870.1953125	-1221.57885742188	524.703979492188	-724.146789550781	-503.892791748047	152.459243774414	343.752593994141	121.589973449707	92.3539047241211	-26.6637268066406	-205.266906738281	-43.5263442993164	-162.462905883789	-213.765960693359	-40.6293106079102	-330.140045166016	-149.968643188477	-97.6196365356445	-190.571029663086	-20.4685859680176	-33.0152816772461	-199.782562255859	-92.9527435302734	-191.892822265625	88.0335693359375	-462.554290771484	22.5937423706055	-80.1194534301758	614.277282714844	149.854019165039	-519.717041015625	98.2849502563477	-44.0358657836914	24.6355304718018	214.357223510742	259.497436523438	-16.0099544525146	674.847473144531	50.8475646972656	608.765502929688	-139.43196105957	32.3165969848633	59.6577491760254
