44.00
10/Sep/2025	14:53:39	8000
2.00	44.00

Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6
-500946.46875	-515945.09375	13157.6845703125	-12388.4560546875	1082.22839355469	-312.026519775391
-519991.40625	-517208.34375	12059.876953125	-20776.14453125	1108.20532226562	-261.815399169922
-512812.75	-517322.09375	10360.6787109375	-33348.125	1181.01904296875	-231.529418945312
-525042.1875	-516479.15625	7732.47412109375	-50947.12890625	1250.31640625	-242.359359741211
-510821.4375	-517475.78125	5181.00927734375	-69856.4453125	1297.28515625	-265.334503173828
-523989.65625	-516697.90625	2257.04418945312	-87212.90625	1330.46594238281	-272.614013671875
-513856.0625	-517093.28125	-2081.29565429688	-104165.6171875	1353.04675292969	-329.815734863281
-520175.59375	-516741.53125	-8398.3984375	-121445.2421875	1369.43896484375	-355.924560546875
-517436.28125	-516278.46875	-17105.447265625	-140932.765625	1331.44384765625	-373.586303710938
-517500.65625	-516250.40625	-27402.21875	-165195.3125	1270.134765625	-424.384216308594
-518947.15625	-516314.9375	-38459.12109375	-191763.046875	1235.72375488281	-421.877197265625
-517053.71875	-516777.0625	-50966.1015625	-215242.5	1204.05883789062	-408.702758789062
-518662.71875	-516918.375	-65036.5078125	-229041.546875	1098.6279296875	-413.521667480469
-517669.84375	-516934.78125	-79898.640625	-225331.640625	978.3154296875	-427.707366943359
-518049.21875	-517175.875	-94795.578125	-201889.484375	869.1728515625	-413.628387451172
-517904.84375	-516655.53125	-108979.015625	-161910.703125	784.160400390625	-402.701385498047
-517303.78125	-517430	-120784.75	-110107.2265625	453.004333496094	-374.991027832031
-517249.65625	-516538.6875	-131556.0625	-53760.9375	-270.928894042969	-334.347595214844
-517251.59375	-517288.5625	-143199.53125	2322.87451171875	-842.709777832031	-318.660003662109
-517251.59375	-517035.4375	-153290.84375	60186.265625	-1410.74609375	-289.066589355469
-517251.59375	-516385.625	-162134.3125	118797.296875	-1432.69384765625	-306.168121337891
