24.00
10/Sep/2025	14:53:39	8000
2.00	24.00

Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8	Channel 9	Channel 10	Channel 11	Channel 12	Channel 13	Channel 14	Channel 15	Channel 16	Channel 17	Channel 18	Channel 19	Channel 20	Channel 21	Channel 22	Channel 23	Channel 24	Channel 25	Channel 26	Channel 27	Channel 28	Channel 29	Channel 30	Channel 31	Channel 32	Channel 33	Channel 34	Channel 35	Channel 36	Channel 37	Channel 38	Channel 39	Channel 40	Channel 41	Channel 42	Channel 43	Channel 44	Channel 45	Channel 46
-44254.41796875	16634.97265625	-323.765655517578	-161.299453735352	-131.548522949219	100.552299499512	-359.380645751953	-475.930236816406	-223.631637573242	-174.070831298828	-287.362884521484	-108.150390625	-51.2886238098145	-0.60931408405304	-209.124099731445	-129.90576171875	-292.793884277344	-110.443367004395	-529.682006835938	161.070861816406	-174.0341796875	-190.821426391602	-40.7986831665039	-232.377700805664	177.075653076172	-187.201019287109	-280.522735595703	-199.06071472168	-96.263069152832	71.8278045654297	513.701782226562	18.5799598693848	227.998092651367	367.325775146484	196.476547241211	16.7000102996826	214.602737426758	198.509872436523	80.8082046508789	-234.548751831055	-78.9719009399414	75.1987609863281	-57.9786682128906	665.335510253906	-999.112426757812	160.429290771484
-46928.41015625	-9749.4482421875	-301.774749755859	-138.879531860352	-116.36417388916	37.150390625	-303.611785888672	-447.068328857422	-256.736938476562	-147.040969848633	-272.263458251953	-104.229972839355	-74.5555267333984	35.3468780517578	-179.533599853516	-123.965858459473	-310.923431396484	-107.276481628418	-525.805786132812	116.939575195312	-165.324279785156	-186.8046875	-24.5804958343506	-261.330596923828	161.713943481445	-146.1220703125	-287.335540771484	-181.654312133789	-106.470169067383	80.4778442382812	496.818267822266	-12.2851610183716	230.181747436523	389.224090576172	167.764572143555	45.9731597900391	323.975402832031	219.881393432617	70.9626617431641	-232.247512817383	-279.670867919922	126.692962646484	-43.9608345031738	700.699829101562	-878.060668945312	156.804382324219
-57372.4140625	-20292.591796875	-303.902984619141	-60.6586875915527	-108.441535949707	58.3611526489258	-244.311965942383	-449.872283935547	-220.625610351562	-128.250396728516	-240.854782104492	-97.1301345825195	-99.8180313110352	-15.1801376342773	-194.657669067383	-122.431060791016	-285.806762695312	-97.2025756835938	-586.287780761719	74.9536972045898	-191.085479736328	-177.71240234375	-78.3324432373047	-274.444122314453	162.899795532227	-113.246955871582	-274.622344970703	-181.728607177734	-87.6366958618164	117.546966552734	501.696136474609	19.6892890930176	203.001022338867	366.113189697266	165.318054199219	31.6714515686035	407.037048339844	221.080505371094	120.596893310547	-223.257614135742	-508.916717529297	177.608657836914	-76.5662002563477	679.758666992188	-696.975219726562	157.765609741211
-54280.015625	-19822.625	-303.091644287109	27.3873405456543	-104.112022399902	78.8306503295898	-179.462860107422	-454.150238037109	-192.210159301758	-110.47102355957	-244.92121887207	-73.9448547363281	-113.400329589844	-36.8840484619141	-231.342071533203	-136.374267578125	-238.268539428711	-97.557373046875	-625.711242675781	61.6476860046387	-178.716110229492	-208.850051879883	-88.7626190185547	-307.801879882812	173.581344604492	-137.278259277344	-302.446563720703	-147.542449951172	-59.3847999572754	144.377014160156	482.835083007812	9.97383594512939	223.288162231445	367.601959228516	153.187377929688	-6.4079065322876	466.359710693359	184.691741943359	115.794471740723	-232.554397583008	-709.101928710938	188.163162231445	-95.9960250854492	675.972290039062	-567.176879882812	144.06315612793
-34085.08203125	-15786.6513671875	-289.305938720703	70.6555023193359	-109.201438903809	56.6929702758789	-162.834259033203	-433.054168701172	-172.060165405273	-107.831321716309	-271.923797607422	-59.0147171020508	-121.207534790039	-48.1612739562988	-202.406723022461	-113.538024902344	-229.715286254883	-97.3170013427734	-659.153137207031	24.6873683929443	-155.562072753906	-169.231796264648	-95.832389831543	-301.591583251953	165.456497192383	-135.965362548828	-302.899261474609	-121.119033813477	-64.8897247314453	176.568420410156	469.054656982422	9.67916774749756	214.444595336914	266.730255126953	125.773567199707	-23.21604347229	498.965270996094	162.335235595703	86.5254669189453	-255.350631713867	-854.347534179688	233.95246887207	-59.8194847106934	692.6328125	-418.797943115234	139.043792724609
-6701.07568359375	-33406.734375	-286.64013671875	51.2753257751465	-119.009613037109	88.0210189819336	-181.712158203125	-433.758819580078	-97.1617660522461	-114.695922851562	-280.953399658203	-66.0306549072266	-112.265556335449	-98.1984329223633	-225.048110961914	-119.730567932129	-190.959625244141	-93.2743148803711	-723.812805175781	-13.4524631500244	-145.22575378418	-160.053115844727	-112.843551635742	-298.560394287109	181.602569580078	-99.4318237304688	-265.229217529297	-101.726371765137	-25.3455905914307	169.162521362305	433.145202636719	48.1716117858887	144.862609863281	22.1189212799072	137.015563964844	-41.8836212158203	521.137573242188	165.435577392578	103.630867004395	-242.809585571289	-963.916137695312	245.150665283203	-11.2245082855225	643.549682617188	-180.849365234375	109.124771118164
17097.78125	-70512.8046875	-253.654418945312	23.5460529327393	-120.690910339355	118.190734863281	-189.949890136719	-390.671020507812	-66.5248184204102	-104.301177978516	-290.302795410156	-65.4574737548828	-123.670501708984	-132.337768554688	-243.482055664062	-143.558654785156	-155.870346069336	-105.588119506836	-736.03125	-53.499080657959	-116.804145812988	-182.697265625	-96.8156280517578	-308.433410644531	197.049240112305	-101.265426635742	-256.809722900391	-43.1270294189453	-10.027660369873	155.390396118164	434.228973388672	36.3653984069824	149.13899230957	-138.945175170898	98.2687072753906	-33.7284698486328	537.631042480469	156.443206787109	105.544952392578	-190.453369140625	-1035.76953125	244.876205444336	6.01597547531128	592.10009765625	42.7565307617188	82.3901977539062
36300.30859375	-99356.28125	-252.643142700195	-69.4775695800781	-91.4660720825195	127.047996520996	-202.799850463867	-383.513214111328	-37.8880310058594	-115.005355834961	-335.269714355469	-87.6849594116211	-113.657119750977	-176.075988769531	-215.978851318359	-128.142593383789	-142.859848022461	-140.546875	-746.059814453125	-74.3210601806641	-109.969879150391	-130.582366943359	-89.7052154541016	-306.117553710938	206.256103515625	-105.398406982422	-261.001770019531	-22.4198265075684	-23.4642238616943	167.414321899414	434.829406738281	44.144660949707	133.222366333008	-312.766357421875	41.3777542114258	-9.81883907318115	506.605499267578	166.815933227539	120.070892333984	-155.735595703125	-1103.78515625	241.690383911133	12.3322429656982	535.213439941406	256.817596435547	60.4619560241699
46852.83984375	-104711.765625	-267.317749023438	-235.366287231445	-34.499828338623	135.232543945312	-215.018447875977	-406.774932861328	27.9496917724609	-82.7423934936523	-341.465942382812	-99.2379608154297	-89.3423767089844	-207.686965942383	-226.208923339844	-106.549499511719	-129.551284790039	-177.852310180664	-767.108581542969	-92.7273788452148	-46.1367607116699	-83.648193359375	-85.6907424926758	-284.241149902344	235.023361206055	-67.8449172973633	-244.62385559082	14.5534515380859	-8.81599521636963	151.044464111328	396.03955078125	93.40087890625	128.125442504883	-471.029235839844	38.9949798583984	19.8113803863525	402.680297851562	189.655014038086	135.942657470703	-150.418395996094	-1106.10510253906	194.762084960938	106.618522644043	492.604278564453	460.718170166016	39.2571105957031
44709.76171875	-84453.7109375	-248.128051757812	-381.624206542969	-43.8407936096191	113.391052246094	-244.167556762695	-366.329284667969	16.1115989685059	-55.0853080749512	-369.771545410156	-69.1294479370117	-99.6586532592773	-244.522583007812	-214.777374267578	-101.579261779785	-114.546997070312	-172.484619140625	-794.876098632812	-113.437614440918	31.1079063415527	-52.6200714111328	-87.4143829345703	-265.093719482422	227.437484741211	-66.8685684204102	-185.44953918457	0.115320906043053	23.5686111450195	162.826858520508	387.067535400391	125.542037963867	182.248138427734	-549.208251953125	11.1142482757568	29.7226867675781	341.417022705078	170.191940307617	122.311866760254	-114.754585266113	-1066.75927734375	192.274261474609	147.040008544922	432.470611572266	633.936645507812	26.1703834533691
37369.07421875	-45059.21875	-261.7490234375	-470.735961914062	-64.3879089355469	95.6565093994141	-267.118408203125	-366.266906738281	42.0773010253906	-66.5783233642578	-395.393737792969	-124.366523742676	-87.0257186889648	-300.077392578125	-189.10546875	-102.75129699707	-75.6798858642578	-183.959609985352	-783.780883789062	-125.77220916748	51.9864273071289	-4.20499467849731	-71.6049423217773	-236.461547851562	260.431884765625	-82.2459259033203	-201.946044921875	-13.0144166946411	11.2276792526245	161.205459594727	391.325469970703	129.483428955078	169.857421875	-574.613647460938	-30.7181224822998	53.4731521606445	267.123413085938	170.135772705078	114.41276550293	-92.4381256103516	-1039.08020019531	167.330383300781	146.783584594727	422.891662597656	854.381286621094	10.8658666610718
32306.4921875	3978.16088867188	-267.833251953125	-516.124328613281	-65.9124526977539	89.3406066894531	-255.105041503906	-366.523895263672	105.91877746582	-21.6602115631104	-400.533233642578	-134.560638427734	-66.0148391723633	-342.910736083984	-196.645980834961	-106.80500793457	-81.1624603271484	-206.775100708008	-800.886169433594	-162.438842773438	62.4633903503418	61.0732116699219	-34.4328842163086	-192.597717285156	302.347869873047	-45.9571189880371	-208.839797973633	-10.5046663284302	-27.7230434417725	152.522659301758	380.241333007812	165.519424438477	164.21630859375	-514.678039550781	-52.1141548156738	77.8851776123047	122.228370666504	189.782073974609	130.738372802734	-85.9567413330078	-1024.96240234375	126.707153320312	238.249008178711	443.627899169922	1051.61694335938	-11.6965141296387
