0.00
10/Sep/2025	14:53:39	8000
2.00	0.00

Channel 1	Channel 2	Channel 3	Channel 4
-520603.09375	521874.625	-15796.1318359375	-13.9908475875854
-520658.40625	521082.21875	-18250.0234375	-25.0717792510986
-521214.1875	521084.375	-17439.66015625	-29.31667137146
-519741.46875	522571.53125	-13981.96484375	-8.7883768081665
-522183.25	518684.40625	-9802.591796875	-21.8194980621338
-519155.25	524986	-7097.81884765625	-48.3549690246582
-521851.34375	516718.84375	-5362.42236328125	-86.1876602172852
-520889.03125	525102.4375	-2581.70434570312	-66.5757675170898
-518453.6875	519517.625	2169.51708984375	-66.4023513793945
-525828.625	518387.28125	8111.87646484375	-78.794807434082
-512502.40625	531003.75	13358.4794921875	-62.8879241943359
-531991.3125	500615.09375	16263.7158203125	-87.185676574707
-506591.34375	561305.8125	17072.4765625	-64.0008010864258
-540415.875	194457.4375	16296.2265625	-72.4188766479492
-419598.0625	-448270	14822.5537109375	-96.7511291503906
200840.078125	-540906.6875	13817.5615234375	-85.5962524414062
552889.25	-505021.78125	13347.349609375	-116.185775756836
504481.25	-534849.3125	13786.44140625	-128.973602294922
528292.6875	-510725.5	15697.57421875	-154.47282409668
518851.28125	-527929.1875	19346.9140625	-170.188095092773
519106.96875	-517844.375	25305.873046875	-174.169631958008
524146.875	-521784.65625	33874.3828125	-179.396865844727
516990.03125	-522241.28125	44787.79296875	-161.424072265625
523906.28125	-519379.375	57982.12890625	-183.209548950195
518648.84375	-522904.5	73853.921875	-182.850997924805
521743.5	-519907.9375	93085.109375	-169.108871459961
520608.6875	-521824.40625	115818.3671875	-143.632904052734
520394.84375	-520999.15625	141031.21875	-103.310508728027
521242.34375	-521055.28125	166839.984375	-78.6726608276367
520350.28125	-521262.96875	191705.265625	-4.29726552963257
521149.4375	-520525.5	216009.703125	50.3835258483887
520744.25	-520419.125	240888.171875	66.2761535644531
520421.40625	-520425.6875	267034.25	81.4776458740234
520819.96875	-520425.6875	294511.3125	47.5181694030762
520507	-520425.6875	322356.25	23.2007884979248
520967.03125	-520425.6875	349868.9375	4.3154935836792
520587.03125	-520425.6875	376771.375	-81.9351272583008
520683.15625	-520425.6875	402119.625	-184.908905029297
521099.8125	-520425.6875	424478.3125	-374.645782470703
519971.625	-520425.6875	441766.0625	-775.857177734375
521916.59375	-520425.6875	451527.40625	-1634.90966796875
519186.84375	-520434.25	452716.9375	-3098.60888671875
522498.78125	-520590.03125	445702.96875	-4726.994140625
518924.125	-520745.40625	431280.46875	-6577.1572265625
522014.96875	-520820.4375	409849.15625	-9357.5986328125
515672.3125	-521192.5625	380834.0625	-13173.0849609375
353736.21875	-521010.09375	344238.5625	-17279.68359375
103266.0390625	-521331.90625	301569.125	-20402.171875
-102188.2890625	-521091.875	255480.140625	-21966.580078125
-331656.8125	-521122.875	209317.53125	-23060.021484375
-502874.84375	-521447.71875	165797.390625	-25102.291015625
-526003.25	-520640.4375	126329.140625	-28201.611328125
-518661.9375	-522003.0625	91024.5625	-31254.603515625
-523320.6875	-520091.5625	59046.71875	-33194.328125
-520604	-522432.90625	29577.470703125	-34384.48828125
-521347.875	-519918.5	1656.47204589844	-36343.16796875
-522744.1875	-522191.84375	-25824.751953125	-40004.46484375
-518775.4375	-518780.9375	-53520.8203125	-44922.1796875
-527316.8125	-393796.46875	-81921.9375	-49419.66796875
-478773.78125	-173379.109375	-110805.4765625	-51796.03515625
-283335.15625	31202.876953125	-139494.96875	-51519.6875
-48018.39453125	271625.90625	-168007.5	-49323.83203125
201460.921875	483052.75	-196882.453125	-46115.87109375
447304.8125	528444.625	-226181.15625	-41447.87109375
528438.25	517171.78125	-256397.09375	-34014.61328125
516777.65625	523600.28125	-287753.25	-23123.2890625
522600.15625	519790.09375	-319639.75	-9705.451171875
519981.90625	521747.84375	-352348.8125	4404.63134765625
520777.875	521131.15625	-385075.5625	18700.18359375
521150.4375	520865.90625	-418934.71875	34262.5
520156.09375	521601.34375	-451602.46875	52146.35546875
521330.875	520736.6875	-483221.53125	71982.90625
520294.59375	521493.90625	-511659.3125	92202.6953125
521017	520968.84375	-521407.90625	111696.6484375
520649.1875	521191.90625	-519883.875	130639.734375
520710.75	520994.59375	-520609.59375	150142.15625
520724.125	520768.46875	-520340.03125	171264.09375
520383.09375	520718.125	-520336.40625	193876.09375
520349.46875	520471.4375	-520529.46875	216855.671875
520089.96875	520422.125	-520268.96875	239245.375
