16.00
10/Sep/2025	14:53:39	8000
2.00	16.00

Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8	Channel 9	Channel 10	Channel 11	Channel 12	Channel 13	Channel 14	Channel 15	Channel 16	Channel 17	Channel 18	Channel 19	Channel 20	Channel 21	Channel 22	Channel 23	Channel 24	Channel 25	Channel 26	Channel 27	Channel 28	Channel 29	Channel 30	Channel 31	Channel 32	Channel 33	Channel 34	Channel 35	Channel 36
-8513.9765625	247403.109375	134.115005493164	-280.465179443359	117.571662902832	-221.428558349609	-550.238647460938	-386.349853515625	-513.959838867188	-431.028137207031	190.904266357422	64.9108657836914	-77.4749298095703	180.167892456055	-111.599586486816	169.993682861328	-97.7025527954102	-688.053039550781	-15.528115272522	-12.6599073410034	-258.518707275391	144.922866821289	83.1654815673828	0.91830188035965	-264.757171630859	39.6932640075684	157.670913696289	-134.815643310547	-183.115631103516	89.2018127441406	262.513153076172	50.2388000488281	141.429275512695	93.8355102539062	70.8828506469727	6.43294382095337
11563.90234375	353247.90625	110.44213104248	-337.256195068359	151.038330078125	-177.830062866211	-538.973999023438	-370.174926757812	-523.104858398438	-450.637603759766	210.49787902832	32.9737968444824	-102.765617370605	268.157196044922	-106.086921691895	289.920684814453	-119.474838256836	-643.397399902344	-37.5311164855957	-27.7578392028809	-260.078033447266	169.409805297852	83.0177993774414	-5.37717914581299	-261.303527832031	58.1809997558594	159.177978515625	-140.414978027344	-198.221282958984	44.2073135375977	230.909362792969	19.373929977417	93.7439804077148	66.7780303955078	56.1809692382812	4.4610333442688
37222.6875	483534.59375	82.5251922607422	-349.756317138672	145.70915222168	-135.76252746582	-531.519592285156	-333.671173095703	-515.38623046875	-424.993011474609	205.941329956055	39.3691253662109	-124.040016174316	332.537109375	-117.785552978516	402.007629394531	-132.278884887695	-572.626770019531	-87.5462646484375	-18.8678207397461	-281.677795410156	192.360290527344	116.952072143555	-11.8813791275024	-222.26123046875	41.9148292541504	118.905899047852	-127.352348327637	-188.796310424805	22.8534507751465	182.204467773438	-3.91267275810242	76.6459350585938	77.5919647216797	56.2946319580078	34.2403144836426
63778.328125	531668.375	31.6285743713379	-350.637542724609	122.375854492188	-95.5088500976562	-525.383911132812	-341.264678955078	-488.624053955078	-416.584197998047	193.923034667969	15.0195837020874	-133.768981933594	388.295166015625	-175.930862426758	445.962585449219	-153.333557128906	-515.092224121094	-143.466201782227	-35.2478942871094	-263.396881103516	203.725509643555	176.365829467773	10.0965843200684	-177.781997680664	76.4587860107422	128.484481811523	-119.315635681152	-194.308654785156	2.66164135932922	148.667404174805	1.29979109764099	119.377151489258	33.1868095397949	27.9669971466064	22.4401340484619
95010.609375	522801.5625	37.1038208007812	-366.563201904297	125.785774230957	-89.784553527832	-502.920715332031	-349.397857666016	-484.6171875	-403.346038818359	192.45491027832	-2.18521094322205	-107.803497314453	435.926940917969	-138.817016601562	478.015594482422	-166.621612548828	-514.973388671875	-171.776779174805	-16.143367767334	-278.908874511719	232.798721313477	189.568572998047	13.9734659194946	-164.95735168457	54.4758110046387	87.0835647583008	-124.981430053711	-171.241134643555	-4.62515354156494	165.298461914062	7.98178958892822	135.416152954102	36.6899642944336	12.5151538848877	-3.93760085105896
132147.484375	527079.5625	5.02062845230103	-410.941162109375	136.809722900391	-76.5750579833984	-474.010833740234	-356.16845703125	-504.967834472656	-417.784790039062	180.563369750977	-12.9549036026001	-92.1871109008789	425.676605224609	-157.805358886719	587.936828613281	-180.956268310547	-485.877685546875	-230.485015869141	12.3676137924194	-264.535949707031	295.890472412109	198.718658447266	-7.9038872718811	-127.067207336426	58.7092361450195	46.1906929016113	-120.64136505127	-142.733871459961	-29.9947204589844	141.11198425293	-27.2229309082031	146.181564331055	82.4544982910156	9.06159210205078	12.278076171875
175234.03125	525173.9375	-34.0090217590332	-411.104370117188	132.891723632812	-75.8365020751953	-448.131195068359	-307.6572265625	-520.547668457031	-419.385925292969	198.121047973633	-36.112979888916	-63.5986671447754	418.555450439453	-179.852310180664	653.318786621094	-223.223556518555	-469.670013427734	-264.683135986328	30.7225494384766	-250.852432250977	327.299621582031	257.198455810547	1.49839246273041	-98.007568359375	95.7025985717773	36.2988357543945	-126.23233795166	-77.49951171875	-38.9914855957031	126.945343017578	-17.3455486297607	184.134750366211	90.0101089477539	-21.8671855926514	42.3263702392578
222602.96875	525563.1875	-28.4315700531006	-396.043518066406	146.064346313477	-93.7763519287109	-429.226593017578	-321.270751953125	-501.526397705078	-392.702392578125	197.519226074219	-73.0752639770508	-53.1318435668945	386.349273681641	-134.405456542969	690.401489257812	-233.085159301758	-490.620758056641	-277.419494628906	36.5684013366699	-251.952667236328	296.283599853516	260.358917236328	4.71182727813721	-79.4457015991211	77.540901184082	-3.01392722129822	-123.164413452148	-17.3872833251953	-15.1700601577759	137.743743896484	13.3310079574585	221.638824462891	75.7144241333008	0.150606244802475	48.377269744873
259843.78125	526039.4375	-51.1253128051758	-457.087860107422	170.838562011719	-98.2049942016602	-400.619995117188	-342.537414550781	-505.529266357422	-395.049621582031	160.905349731445	-143.81901550293	-16.3707733154297	329.830108642578	-104.108009338379	794.013977050781	-210.2255859375	-480.781860351562	-267.747589111328	56.3712692260742	-246.18115234375	292.816131591797	230.42268371582	24.14577293396	-75.0341567993164	92.5456695556641	-23.5778427124023	-107.768775939941	9.94267272949219	-20.5458641052246	111.661842346191	4.03790760040283	267.110382080078	77.1902770996094	-8.99207973480225	55.5629119873047
297230.28125	525110.4375	-98.199333190918	-477.310913085938	110.672340393066	-80.524284362793	-392.650329589844	-355.38671875	-533.902587890625	-373.594940185547	152.203323364258	-156.524063110352	20.7292575836182	287.272338867188	-85.8893661499023	824.586181640625	-210.76252746582	-438.187225341797	-244.036560058594	82.5501098632812	-250.418685913086	319.053009033203	250.836532592773	37.6279945373535	-60.402660369873	83.9949264526367	-15.7477464675903	-110.740928649902	63.8842430114746	-7.99314594268799	142.573715209961	39.9026107788086	310.022521972656	98.9400405883789	-57.1215324401855	63.937873840332
