4.00
10/Sep/2025	14:53:39	8000
2.00	4.00

Channel 1	Channel 2	Channel 3	Channel 4	Channel 5	Channel 6	Channel 7	Channel 8	Channel 9	Channel 10	Channel 11	Channel 12
-515921.25	-523636.75	218878.0625	361277.4375	-559.633911132812	-373.298217773438	-147.228668212891	-288.775909423828	53.2102737426758	-491.830841064453	140.321899414062	-150.998046875
-516324.6875	-522454.40625	228998.015625	392422.9375	-655.08740234375	-332.377044677734	-255.280242919922	-262.398681640625	41.4539756774902	-476.122100830078	184.044464111328	-179.501434326172
-516377.34375	-523543.6875	235635.84375	419849.59375	-836.334899902344	-321.856140136719	-281.790100097656	-299.032592773438	-14.5939960479736	-436.839996337891	187.151092529297	-161.244110107422
-516664.03125	-523091.625	238065.6875	443789.875	-982.805358886719	-332.822784423828	-354.282287597656	-292.612121582031	-63.6439552307129	-426.191040039062	214.679489135742	-173.293380737305
-516595.1875	-522205.34375	237242.15625	465594.5625	-1204.50402832031	-407.276550292969	-427.005065917969	-275.515472412109	-84.4390182495117	-398.078887939453	243.908248901367	-193.37580871582
-516353.625	-525149.5625	234364.796875	487106.3125	-1533.63537597656	-551.279357910156	-446.643280029297	-291.990539550781	-142.181076049805	-349.699951171875	257.675537109375	-201.991897583008
-517107.71875	-519593.09375	228908.3125	511064.125	-1842.80334472656	-757.934631347656	-505.732635498047	-291.618499755859	-167.47705078125	-335.671295166016	237.003494262695	-221.421401977539
-515711.625	-527959.0625	222272.8125	523342.5	-2220.59008789062	-1040.32360839844	-532.037109375	-276.586853027344	-200.394424438477	-322.986022949219	217.922180175781	-251.720840454102
-517703	-517047.46875	216300.84375	522792.03125	-2610.935546875	-1442.51831054688	-583.940673828125	-246.20475769043	-269.785675048828	-301.648712158203	249.274993896484	-300.347045898438
-515434.65625	-530196.75	213408.5625	522883.9375	-3065.92944335938	-1943.09265136719	-610.416015625	-242.278442382812	-293.406555175781	-264.694488525391	230.87419128418	-287.680969238281
-517323.90625	-504249.40625	217545.484375	523090.53125	-3616.88134765625	-2541.88037109375	-618.276977539062	-229.461807250977	-319.976379394531	-237.084487915039	215.407348632812	-286.794342041016
-516813.1875	-243936.90625	229425.140625	522888.375	-4151.326171875	-3248.36059570312	-647.421630859375	-187.823257446289	-346.609252929688	-195.728378295898	220.071426391602	-307.383544921875
-514640.125	136252.875	248079.46875	522999	-4758.361328125	-4066.30590820312	-650.181030273438	-156.888290405273	-333.346099853516	-171.693496704102	211.805572509766	-292.952423095703
-521065.75	441697.03125	272220.0625	523248.09375	-5298.802734375	-4987.22998046875	-690.119445800781	-141.457183837891	-354.581634521484	-172.472030639648	206.337097167969	-303.904541015625
-508287.53125	537572.9375	298107.21875	522597.875	-6229.134765625	-6077.2900390625	-694.104736328125	-101.667839050293	-342.823486328125	-98.4091644287109	204.207962036133	-305.125427246094
-532141.4375	516081.28125	322656.875	524186.46875	-7299.83544921875	-7608.3798828125	-678.368347167969	-34.2174034118652	-314.261596679688	-41.6697845458984	189.089889526367	-278.245452880859
-446182.4375	526247.125	343500.6875	516217.96875	-7675.7177734375	-9702.166015625	-735.638305664062	-6.32631063461304	-362.443725585938	-3.98787617683411	168.129058837891	-249.67839050293
-111679.203125	522263.21875	358531.625	487309.09375	-8242.8837890625	-12391.9541015625	-716.440979003906	21.2405872344971	-343.782012939453	50.3541717529297	171.140075683594	-247.381591796875
275213.09375	522470.34375	367229	450917.1875	-9273.185546875	-15794.908203125	-668.003845214844	74.0676803588867	-313.496063232422	78.9446105957031	134.409957885742	-232.175201416016
502604.15625	524322.0625	368789.84375	409493.96875	-10463.0107421875	-19601.53125	-703.034240722656	106.615051269531	-334.765747070312	106.080635070801	111.608863830566	-218.811752319336
522946.4375	521716.96875	362311.125	362186	-11762.3720703125	-23163.349609375	-704.938110351562	159.516662597656	-294.479919433594	139.675918579102	84.8443145751953	-222.321701049805
511165.875	524189.3125	347231.59375	312704.40625	-12652.9208984375	-26734.09765625	-653.650268554688	212.999542236328	-279.272094726562	152.548690795898	29.3507919311523	-179.318435668945
520811.375	522333.40625	323099.21875	260343.890625	-12851.3701171875	-30738.62890625	-619.9267578125	239.707214355469	-267.260894775391	139.10693359375	25.3227977752686	-151.264144897461
513678.34375	523433.46875	289734.5	205725.84375	-12699.9951171875	-33920.875	-611.178527832031	262.5126953125	-238.76953125	164.760345458984	-18.0673236846924	-147.748443603516
518193.25	522989.28125	247791.390625	148604.578125	-12655.1328125	-34446.71875	-574.081726074219	287.154418945312	-277.880737304688	184.409225463867	-88.1844940185547	-134.64143371582
515983.15625	522995.21875	199319.578125	87400.3046875	-12496.501953125	-32404.306640625	-532.924377441406	299.648132324219	-292.739868164062	160.553741455078	-139.146102905273	-113.76188659668
516474.96875	523260.28125	145947.71875	22953.6875	-12930.6142578125	-29206.98046875	-522.494812011719	267.843933105469	-278.695434570312	152.771072387695	-185.206695556641	-105.809638977051
517032.40625	523028.15625	89269.0859375	-47121.328125	-13637.3466796875	-24834.181640625	-485.10107421875	248.722427368164	-299.800842285156	152.715835571289	-234.402694702148	-112.26717376709
516026.15625	522974.1875	30714.888671875	-122532.0625	-12387.0556640625	-19471.26171875	-430.568542480469	269.40380859375	-306.039093017578	144.440551757812	-273.669891357422	-69.7691650390625
517152.15625	522824.09375	-29090.85546875	-202052.1875	-9621.2919921875	-15124.9248046875	-423.403503417969	247.844161987305	-319.426239013672	130.834060668945	-293.957397460938	-44.8979454040527
516776.03125	522685.375	-89220.78125	-286883.84375	-7458.1806640625	-13303.5380859375	-390.270935058594	225.47917175293	-364.203643798828	129.212631225586	-354.632415771484	-52.3788146972656
517251.25	522877.15625	-149058.515625	-368406.78125	-7416.15185546875	-14825.876953125	-366.199890136719	254.151473999023	-397.282592773438	118.810531616211	-395.659240722656	-25.3816337585449
517394.28125	522977.375	-208018.40625	-455799.625	-9622.58203125	-19577.955078125	-398.894927978516	261.443664550781	-403.982086181641	87.9855651855469	-438.555450439453	-17.9151840209961
517066.21875	522821.0625	-266579.21875	-518225.4375	-11324.015625	-24940.603515625	-413.334442138672	281.865539550781	-389.78857421875	103.470802307129	-472.448059082031	-25.0252361297607
516734.84375	523374.0625	-323308.8125	-524348.3125	-9998.626953125	-26667.431640625	-433.695495605469	295.574645996094	-412.32177734375	88.4540710449219	-487.730895996094	-16.9761829376221
